filename,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,label
forest_fires,1,0,0.1326898613729337,0.9999941971321757,0.036633013,0.22352141453041516,0,0,-0.007365729,0
boston_house Prices_advanced_regression_techniques,1,-1,1,1,-1,0.24731912044429596,0.7784989264027182,0.27608260932084994,-0.388304609,0.019543419
boston_house Prices_advanced_regression_techniques,1,-1,0.9999999999999999,1,-1,0.2877815767215687,0.37420441834258744,0.017981597448926686,0.36044534245054316,-1.42E-05
boston_house Prices_advanced_regression_techniques,1,-1,1,1,-1,0.035138514097550616,0.6690375970278669,0.12320776898483232,-0.48372516,0.002019625
boston_house Prices_advanced_regression_techniques,1,0.7308810057023798,0.9999260937682948,1,0.153423306,0.1822951218837209,0.38477313679613717,0.009291056,0.1752601771902984,0.000550407
boston_house Prices_advanced_regression_techniques,1,-1,1,1,-1,0.5474652490951564,0.7838667051048149,0.3993856223854181,-0.427320772,0.040624786
boston_house Prices_advanced_regression_techniques,1,-1,1,1,-1,0.7152051753066838,1,0.8182512187495755,0.6953599470715394,0.083349883
boston_house Prices_advanced_regression_techniques,1,-1,1,1,-1,0.004022291,0.7546114051095408,0.2727212020794507,-0.376954565,0.011265438738565349
boston_house Prices_advanced_regression_techniques,1,-1,0.9999999879338827,1,-1,0.8286216118220161,0.796884861,0.4393287780713221,0.24992873408590388,0.027816915370348808
boston_house Prices_advanced_regression_techniques,1,0.9997141886886551,1,1,1.225293830790585,0.7066220349225288,0.6344873543162632,0.1017180213439599,-0.381626231,0.001695734
boston_house Prices_advanced_regression_techniques,1,-1,1,1,-1,0.5502726179940856,0.6838780490705749,0.23302946487707116,-0.468535934,0.006986585
boston_house Prices_advanced_regression_techniques,1,-1,1,1,-1,0.5501150598064336,0.681359829,0.2653349370023051,-0.507786686,0.018544277120812303
boston_house Prices_advanced_regression_techniques,1,-1,0.9999999999999868,1,-1,0.22675685404462118,0.6635356451885505,0.1805830221475348,0.33346081965706653,0.009112877
boston_house Prices_advanced_regression_techniques,1,-1,1,1,-1,1,0.9907831403269194,1,-0.737662726,0.19950675602217025
productivity_prediction_of_garment_employees,0,0.9999999986537084,0.9999999995721568,0.9999998749979765,1.2772545767023746,0.2609058301803421,0.632283815,0.1804433351916783,0.1791852682750572,0.003021017
productivity_prediction_of_garment_employees,0,1,0.9999984988689351,0.9997706547612459,0.9596245210896179,0,0.592083463,0.20357364957261298,0.13853174220425912,0.004193288
productivity_prediction_of_garment_employees,0,0.5671163379548226,0.9999999771258279,0.9999999999774524,1.4076885288112546,0.1449172233293061,0.5431027115833789,0.12122025816403958,0.16065221310456446,-0.000306425
productivity_prediction_of_garment_employees,1,1,0.9999997658206864,1,2.3027955541050207,0.4329882878102146,0.7102696351386406,0.3110647113740757,-0.148753311,0.00631125
productivity_prediction_of_garment_employees,1,1,1,0.6546839649576675,1.4513563872744144,0.9559066201349683,1,1,0.4215938837001504,0.045644172
productivity_prediction_of_garment_employees,1,-1,0.9999771886998893,1,-1,0.9566016438853217,0.7876025415713771,0.455460836,-0.122088841,0.026809868745851548
productivity_prediction_of_garment_employees,1,-1,0.9977866631490088,1,-1,0.08255702,0.56272615,0.3564980471952749,0.088364609,0.008544489
productivity_prediction_of_garment_employees,1,-1,0.9391819190993522,1,-1,0.22538982141840627,0.691216307,0.32742923085155057,-0.054205837,0.008942212
productivity_prediction_of_garment_employees,1,-1,0.9919304281953181,0.9999999999999986,-1,0.12183084540364332,0.8844128576010869,0.7440455040606301,0.076537627,0.058442680222880246
productivity_prediction_of_garment_employees,1,1,0.994872483,0.010709286741181212,0.11064361522597302,0.036685603,0,0,-0.08085081,0
productivity_prediction_of_garment_employees,1,1,0.9999999997608546,0.9998836131635875,0.10701593506429097,0.3610183793621698,0,0,-0.181734326,0
productivity_prediction_of_garment_employees,1,1,1,1,0.4130040293248672,0.1729332136215201,0.075616875,0.010486935990386378,-0.207365607,0.000136618
productivity_prediction_of_garment_employees,1,-1,0.9551365432450787,1,-1,1,0.7166023601157854,0.723437795,-0.057990592,0.039968667935560684
song_popularity,1,-1,0.9999999999996242,1,-1,0.7945110193791403,0.9863202335039722,0.7266754828310852,-0.052895252,166736971069653.22
song_popularity,1,-1,0.9905085673749271,1,-1,0.11313294381562213,0.9672560135462607,0.4901273561569088,-0.018899407,153425959115944.2
song_popularity,1,-1,1,1,-1,0.4407342725172016,0.9777650152990217,0.605131483,-0.06518109,110779005787003.14
song_popularity,1,-1,1,1,-1,0.7386209880470005,0.9874205553476358,0.6745863718047965,0.10429014168024242,168081927856936.28
song_popularity,1,-1,0.1485997106501349,1,-1,0.9357931172591173,0.9800131394192934,0.6003890419863527,0.001365079,80313999595869.23
song_popularity,1,-1,1,1,-1,0.8468520657377685,1,1,-0.130907183,177651913904429.4
song_popularity,1,1,0.9290965896425963,1,0.072735733,0.083788786,0.8808846165774786,0.2821493014640472,-0.013160365,55064035654596.016
song_popularity,1,-1,0.9999999097616272,1,-1,0.23820932072566797,0.9585705414807347,0.44038290522772044,-0.038936609,135151632042821.64
song_popularity,1,-1,1,1,-1,1,0.9846002680553082,0.831959594,0.099442183,197102219601820.66
song_popularity,1,1,0.5047325621038996,1,0.008021316,0.039332530415631076,0.798169702,0.12458538168299796,-0.004969343,11379144355613.85
song_popularity,1,-1,0.9968015117926223,1,-1,0.084942409,0.9667604132094633,0.43673104972157417,0.021479379,157637246745697.88
song_popularity,1,-1,0.998140012,1,-1,0.11998430660018407,0.9700970613951153,0.49831474967941003,-0.022672069,200124157193685.62
